feature;0
side_avg_15D_home;0,0
Scored_15D_home;0,0
Received_15D_home;0,0
points_15D_home;0,0
side_avg_15D_away;0,0
Scored_15D_away;0,0
Received_15D_away;0,0
points_15D_away;0,0
side_avg_30D_home;0,0
Scored_30D_home;1,0
Received_30D_home;0,0
points_30D_home;2,0
side_avg_30D_away;0,0
Scored_30D_away;1,0
Received_30D_away;3,0
points_30D_away;1,0
side_avg_60D_home;0,0
Scored_60D_home;1,0
Received_60D_home;1,0
points_60D_home;0,0
side_avg_60D_away;0,0
Scored_60D_away;3,0
Received_60D_away;2,0
points_60D_away;0,0
side_avg_180D_home;0,0
Scored_180D_home;1,0
Received_180D_home;2,0
points_180D_home;4,0
side_avg_180D_away;1,0
Scored_180D_away;7,0
Received_180D_away;0,0
points_180D_away;5,0
side_avg_365D_home;0,0
Scored_365D_home;9,0
Received_365D_home;1,0
points_365D_home;10,0
side_avg_365D_away;0,0
Scored_365D_away;1,0
Received_365D_away;1,0
points_365D_away;6,0
side_avg_730D_home;0,0
Scored_730D_home;6,0
Received_730D_home;5,0
points_730D_home;9,0
side_avg_730D_away;0,0
Scored_730D_away;1,0
Received_730D_away;5,0
points_730D_away;15,0
side_avg_1825D_home;0,0
Scored_1825D_home;2,0
Received_1825D_home;1,0
points_1825D_home;7,0
side_avg_1825D_away;2,0
Scored_1825D_away;9,0
Received_1825D_away;2,0
points_1825D_away;7,0
derby_Scored_1_home;1,0
derby_Side_1_home;0,0
derby_points_1_home;0,0
derby_Scored_1_away;0,0
derby_Side_1_away;0,0
derby_points_1_away;0,0
derby_Scored_3_home;2,0
derby_Side_3_home;0,0
derby_points_3_home;0,0
derby_Scored_3_away;0,0
derby_Side_3_away;0,0
derby_points_3_away;0,0
derby_Scored_5_home;0,0
derby_Side_5_home;0,0
derby_points_5_home;1,0
derby_Scored_5_away;0,0
derby_Side_5_away;0,0
derby_points_5_away;0,0
derby_Scored_10_home;2,0
derby_Side_10_home;0,0
derby_points_10_home;2,0
derby_Scored_10_away;1,0
derby_Side_10_away;1,0
derby_points_10_away;1,0
